 ,IMODE,AGSK,j2020,HS-ES-DE
F1,0.000E+00,0.000E+00,0.000E+00,0.000E+00
 ,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(0.000E+00)$\approx$,(0.000E+00)
F2,3.463E-01,1.233E+00,6.246E-02,1.767E+01
 ,(5.663E-01)$+$,(1.359E+00)$\approx$,(0.000E+00)$+$,(4.153E+01)
F3,2.046E+01,2.039E+01,0.000E+00,2.071E+01
 ,(1.245E-01)$+$,(0.000E+00)$+$,(0.000E+00)$+$,(2.614E-01)
F4,4.995E-01,7.749E-01,1.135E-01,0.000E+00
 ,(8.077E-02)$-$,(1.006E-01)$-$,(8.475E-02)$-$,(0.000E+00)
F5,1.055E+01,2.917E+01,1.461E+02,2.667E+02
 ,(4.112E+00)$+$,(2.939E+01)$+$,(7.067E+01)$+$,(1.776E+02)
F6,2.868E-01,1.605E-01,1.965E-01,9.831E-01
 ,(7.395E-02)$+$,(4.994E-02)$+$,(1.117E-01)$+$,(4.973E-01)
F7,5.098E-01,5.664E-01,3.961E-01,1.441E+02
 ,(1.780E-01)$+$,(7.354E-01)$+$,(1.711E+01)$+$,(1.243E+02)
F8,8.423E+01,1.000E+02,1.000E+02,1.000E+02
 ,(1.833E+01)$+$,(8.303E-14)$\approx$,(1.000E+02)$+$,(8.303E-14)
F9,9.667E+01,9.667E+01,1.000E+02,3.891E+02
 ,(1.826E+01)$+$,(1.826E+01)$+$,(4.113E+02)$+$,(1.806E+01)
F10,3.997E+02,3.994E+02,3.990E+02,4.126E+02
 ,(4.441E-01)$+$,(2.008E+00)$+$,(3.991E+02)$+$,(1.475E+00)
$-$,1,1,1, 
$+$,8,6,8, 
$\approx$,1,3,1, 
